"school","sex","age","studytime","failures","PrevG","absences","G3"
"GP","Female",18,2,0,5.5,6,6
"GP","Female",17,2,0,5,4,6
"GP","Female",15,2,3,7.5,10,10
"GP","Female",15,3,0,14.5,2,15
"GP","Female",16,2,0,8,4,10
"GP","Male",16,2,0,15,10,15
"GP","Male",16,2,0,12,0,11
"GP","Female",17,2,0,5.5,6,6
"GP","Male",15,2,0,17,0,19
"GP","Male",15,2,0,14.5,0,15
"GP","Female",15,2,0,9,0,9
"GP","Female",15,3,0,11,4,12
"GP","Male",15,1,0,14,2,14
"GP","Male",15,2,0,10,2,11
"GP","Male",15,3,0,15,0,16
"GP","Female",16,1,0,14,4,14
"GP","Female",16,3,0,13.5,6,14
"GP","Female",16,2,0,9,4,10
"GP","Male",17,1,3,5.5,16,5
"GP","Male",16,1,0,9,4,10
"GP","Male",15,2,0,13.5,0,15
"GP","Male",15,1,0,13.5,0,15
"GP","Male",16,2,0,15,2,16
"GP","Male",16,2,0,13,0,12
"GP","Female",15,3,0,9.5,2,8
"GP","Female",16,1,2,7.5,14,8
"GP","Male",15,1,0,12,2,11
"GP","Male",15,1,0,15.5,4,15
"GP","Male",16,2,0,11,4,11
"GP","Male",16,2,0,11,16,11
"GP","Male",15,2,0,10,0,12
"GP","Male",15,2,0,16.5,0,17
"GP","Male",15,2,0,16.5,0,16
"GP","Male",15,2,0,9,0,12
"GP","Male",16,1,0,13,0,15
"GP","Female",15,1,0,7.5,0,6
"GP","Male",15,3,0,15.5,2,18
"GP","Male",16,3,0,15.5,7,15
"GP","Female",15,3,0,12,2,11
"GP","Female",15,1,0,13.5,8,13
"GP","Female",16,2,1,8.5,25,11
"GP","Male",15,1,0,12,8,12
"GP","Male",15,2,0,18.5,2,18
"GP","Male",15,1,0,8,0,11
"GP","Female",16,2,1,10,14,9
"GP","Female",15,2,0,8,8,6
"GP","Female",16,2,0,11.5,12,11
"GP","Male",16,4,0,19,4,20
"GP","Male",15,2,0,15,2,14
"GP","Female",15,2,1,7,2,7
"GP","Female",16,2,0,12.5,2,13
"GP","Female",15,2,0,12,2,13
"GP","Male",15,1,1,11,6,10
"GP","Female",15,1,0,9,0,11
"GP","Female",15,1,0,11.5,6,13
"GP","Female",16,2,0,8.5,8,10
"GP","Female",15,2,0,14.5,0,15
"GP","Male",15,2,0,14.5,4,15
"GP","Male",15,2,0,9.5,2,9
"GP","Female",16,2,0,15.5,2,16
"GP","Female",16,2,0,10.5,6,11
"GP","Female",16,1,0,9,6,11
"GP","Female",16,2,0,9,4,9
"GP","Female",16,3,0,9.5,2,9
"GP","Female",15,2,0,10,0,10
"GP","Female",16,2,0,15.5,2,15
"GP","Male",15,4,0,13,4,12
"GP","Female",16,4,0,7,4,6
"GP","Female",15,2,0,8.5,2,8
"GP","Female",15,4,0,16,12,16
"GP","Male",16,4,0,14,0,15
"GP","Male",15,4,0,10,0,10
"GP","Female",15,2,2,7,2,5
"GP","Male",16,1,0,12,2,14
"GP","Female",16,2,0,11.5,54,11
"GP","Male",15,2,0,9,6,10
"GP","Male",15,4,0,11,8,10
"GP","Female",16,4,0,11,0,11
"GP","Male",17,1,3,8,2,10
"GP","Female",16,2,0,5,12,5
"GP","Male",15,1,0,11,2,12
"GP","Male",15,3,0,10.5,4,11
"GP","Female",15,2,0,6.5,10,6
"GP","Male",15,2,0,15,4,15
"GP","Female",15,2,0,9.5,2,10
"GP","Female",15,2,2,8,6,8
"GP","Female",16,2,0,7.5,4,6
"GP","Female",15,3,0,13.5,4,14
"GP","Male",16,2,1,10.5,12,10
"GP","Male",16,2,0,7,18,7
"GP","Female",16,3,0,7,0,8
"GP","Female",15,1,0,16.5,4,18
"GP","Female",16,2,0,6.5,4,6
"GP","Female",16,2,0,10.5,0,10
"GP","Male",15,4,0,12,6,14
"GP","Female",15,4,1,8.5,2,10
"GP","Male",16,1,0,13,2,15
"GP","Female",16,2,0,8.5,2,10
"GP","Female",16,1,0,12.5,6,14
"GP","Female",16,3,0,8,0,8
"GP","Male",16,1,0,7,14,5
"GP","Male",16,3,0,16.5,0,17
"GP","Male",15,1,0,11.5,4,14
"GP","Female",15,2,0,6.5,26,6
"GP","Male",15,2,0,17,0,18
"GP","Female",15,4,0,10.5,10,11
"GP","Female",15,4,0,7.5,8,8
"GP","Male",16,3,0,17,2,18
"GP","Male",15,4,0,11.5,6,13
"GP","Female",16,3,0,14.5,4,16
"GP","Male",15,1,0,18.5,6,19
"GP","Female",16,3,1,8.5,0,10
"GP","Female",16,2,1,11.5,6,13
"GP","Male",15,1,0,18.5,10,19
"GP","Male",15,2,0,9,8,9
"GP","Male",16,2,0,15,2,16
"GP","Male",15,2,0,12,2,14
"GP","Male",16,1,0,13.5,0,13
"GP","Male",17,2,1,8,20,8
"GP","Male",15,1,0,13.5,6,13
"GP","Female",15,2,0,15.5,2,15
"GP","Male",15,4,0,15,6,15
"GP","Female",16,2,0,13,2,13
"GP","Male",16,1,0,12.5,18,13
"GP","Female",16,2,0,7.5,0,8
"GP","Male",15,1,0,13,0,12
"GP","Female",15,2,0,8.5,0,11
"GP","Female",19,2,3,7.5,2,9
"GP","Male",18,1,2,5.5,0,0
"GP","Male",16,1,0,18,8,18
"GP","Female",15,3,2,6,0,0
"GP","Female",15,1,0,4,0,0
"GP","Female",17,1,0,11.5,12,12
"GP","Female",16,1,0,11.5,16,11
"GP","Male",15,2,0,4.5,0,0
"GP","Female",15,3,0,5.5,0,0
"GP","Male",17,2,0,5,0,0
"GP","Female",16,1,2,2,0,0
"GP","Male",16,2,1,13,0,12
"GP","Female",15,1,0,16,0,15
"GP","Male",15,4,0,8,0,0
"GP","Male",16,1,2,9,8,9
"GP","Female",15,3,0,10,2,11
"GP","Female",16,1,0,14,2,13
"GP","Male",17,1,3,2.5,0,0
"GP","Female",15,2,0,9.5,0,11
"GP","Female",15,2,3,6.5,0,0
"GP","Female",15,2,0,10.5,2,11
"GP","Male",16,1,0,6.5,0,0
"GP","Male",15,1,3,8.5,0,10
"GP","Male",18,1,3,5.5,0,0
"GP","Male",16,1,1,12.5,6,14
"GP","Female",15,3,2,10,8,10
"GP","Male",19,1,3,2.5,0,0
"GP","Female",17,1,0,11,0,12
"GP","Male",15,2,0,9.5,2,8
"GP","Male",17,1,0,14,8,13
"GP","Female",18,1,3,8.5,6,10
"GP","Male",16,1,0,16,2,15
"GP","Male",16,2,1,11,4,12
"GP","Male",17,1,2,6.5,0,0
"GP","Male",15,2,2,7,6,7
"GP","Male",16,1,1,3.5,0,0
"GP","Male",17,1,0,10,2,10
"GP","Male",17,2,3,6.5,0,7
"GP","Male",16,1,1,11.5,16,12
"GP","Male",16,2,0,10,4,10
"GP","Female",16,2,0,14.5,0,16
"GP","Female",16,2,0,6.5,0,0
"GP","Female",16,2,0,14,0,14
"GP","Male",16,1,2,5.5,0,0
"GP","Male",16,2,0,14,2,16
"GP","Male",17,2,0,12,0,10
"GP","Female",16,2,3,7.5,0,0
"GP","Female",16,2,0,10.5,4,9
"GP","Male",17,2,0,9.5,4,9
"GP","Female",16,2,0,13,2,11
"GP","Male",17,2,0,5.5,4,6
"GP","Male",16,1,0,9,10,9
"GP","Male",17,2,0,10,4,11
"GP","Male",16,2,0,8.5,10,8
"GP","Male",16,2,0,12.5,2,12
"GP","Female",17,2,0,16.5,0,17
"GP","Female",17,2,0,9,56,8
"GP","Female",16,2,0,12.5,14,12
"GP","Male",17,2,0,12,12,11
"GP","Male",16,1,0,11.5,2,11
"GP","Male",16,2,0,15,0,15
"GP","Female",17,2,0,7.5,6,9
"GP","Male",17,2,0,8.5,4,10
"GP","Female",16,2,0,11.5,10,13
"GP","Female",17,2,0,8,0,9
"GP","Male",17,2,0,7.5,12,8
"GP","Male",16,1,0,8.5,8,10
"GP","Male",16,1,0,13.5,0,14
